NFL Week 1 Over Under Totals 2018,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
ATL 12 @ PHI 18,2018-09-06,46.5,under,44.5,under,30
BUF 3 @ BAL 47,2018-09-09,42.5,over,39,over,50
CIN 34 @ IND 23,2018-09-09,47,over,47.5,over,57
HOU 20 @ NE 27,2018-09-09,51,under,49.5,under,47
JAC 20 @ NYG 15,2018-09-09,44,under,43,under,35
PIT 21 @ CLE 21,2018-09-09,47,under,41,over,42
SF 16 @ MIN 24,2018-09-09,47,under,46.5,under,40
TB 48 @ NO 40,2018-09-09,51.5,over,50,over,88
TEN 20 @ MIA 27,2018-09-09,46.5,over,43.5,over,47
KC 38 @ LAC 28,2018-09-09,47.5,over,48,over,66
DAL 8 @ CAR 16,2018-09-09,44,under,42.5,under,24
SEA 24 @ DEN 27,2018-09-09,42,over,42.5,over,51
WAS 24 @ ARI 6,2018-09-09,44,under,43.5,under,30
CHI 23 @ GB 24,2018-09-09,48,under,45,over,47
NYJ 48 @ DET 17,2018-09-10,44,over,44,over,65
LAR 33 @ OAK 13,2018-09-10,49.5,under,47.5,under,46
NFL Week 1 Over Under Totals 2017,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
KC 42 @ NE 27,2017-09-07,48.5,over,47.5,over,69
JAC 29 @ HOU 7,2017-09-10,42,under,38,under,36
NYJ 12 @ BUF 21,2017-09-10,42.5,under,42,under,33
PHI 30 @ WAS 17,2017-09-10,48,under,49.5,under,47
OAK 26 @ TEN 16,2017-09-10,51.5,under,49.5,under,42
ATL 23 @ CHI 17,2017-09-10,50.5,under,48,under,40
BAL 20 @ CIN 0,2017-09-10,43,under,41.5,under,20
PIT 21 @ CLE 18,2017-09-10,47.5,under,47,under,39
ARI 23 @ DET 35,2017-09-10,48.5,over,48.5,over,58
IND 9 @ LAR 46,2017-09-10,47,over,41.5,over,55
SEA 9 @ GB 17,2017-09-10,49.5,under,49.5,under,26
CAR 23 @ SF 3,2017-09-10,48,under,45.5,under,26
NYG 3 @ DAL 19,2017-09-10,49.5,under,46.5,under,22
