Away,Home,Total,Prediction,Actual Total,Outcome,Week,seq,win,loss,count,Result,notes
WAS,PHI,46.5,over,59,over,1,1,1,0,1,Win,
TEN,CLE,45.5,over,56,over,1,1,1,0,1,Win,
SF,TB,49,under,48,under,1,1,1,0,1,Win,
PIT,NE,51.5,over,36,under,1,1,0,1,1,Loss,
NYG,DAL,46.5,over,52,over,1,1,1,0,1,Win,
LAR,CAR,51,over,57,over,1,1,1,0,1,Win,
KC,JAC,52.5,over,66,over,1,1,1,0,1,Win,
IND,LAC,47.5,over,54,over,1,1,1,0,1,Win,
HOU,NO,53.5,over,58,over,1,1,1,0,1,Win,
DET,ARI,49,over,54,over,1,1,1,0,1,Win,
DEN,OAK,43,over,40,under,1,1,0,1,1,Loss,
CIN,SEA,43.5,under,41,under,1,1,1,0,1,Win,
BUF,NYJ,38.5,under,33,under,1,1,1,0,1,Win,
BAL,MIA,37,under,69,over,1,1,0,1,1,Loss,
ATL,MIN,47,over,40,under,1,1,0,1,1,Loss,
SF,CIN,45,over,58,over,2,2,1,0,1,Win,
SEA,PIT,46.5,over,54,over,2,2,1,0,1,Win,
PHI,ATL,51,over,44,under,2,2,0,1,1,Loss,
NO,LAR,54,under,36,under,2,2,1,0,1,Win,
NE,MIA,47,over,43,under,2,2,0,1,1,Loss,
MIN,GB,46,under,37,under,2,2,1,0,1,Win,
LAC,DET,47,over,23,under,2,2,0,1,1,Loss,
KC,OAK,52,over,38,under,2,2,0,1,1,Loss,
JAC,HOU,44.5,under,25,under,2,2,1,0,1,Win,
IND,TEN,44,over,36,under,2,2,0,1,1,Loss,
DAL,WAS,44,over,52,over,2,2,1,0,1,Win,
CLE,NYJ,46,under,26,under,2,2,1,0,1,Win,
CHI,DEN,40.5,over,30,under,2,2,0,1,1,Loss,
BUF,NYG,42.5,over,42,under,2,2,0,1,1,Loss,
ARI,BAL,42.5,over,40,under,2,2,0,1,1,Loss,
ATL,IND,47,over,51,over,3,3,1,0,1,Win,
BAL,KC,51.5,over,61,over,3,3,1,0,1,Win,
CAR,ARI,45,over,58,over,3,3,1,0,1,Win,
CHI,WAS,41,over,46,over,3,3,1,0,1,Win,
CIN,BUF,43.5,under,38,under,3,3,1,0,1,Win,
DEN,GB,41.5,over,43,over,3,3,1,0,1,Win,
DET,PHI,45,over,51,over,3,3,1,0,1,Win,
HOU,LAC,49,under,47,under,3,3,1,0,1,Win,
LAR,CLE,47,over,33,under,3,3,0,1,1,Loss,
MIA,DAL,46.5,over,37,under,3,3,0,1,1,Loss,
NO,SEA,44.5,over,60,over,3,3,1,0,1,Win,
NYG,TB,48,over,63,over,3,3,1,0,1,Win,
NYJ,NE,43,over,44,over,3,3,1,0,1,Win,
OAK,MIN,43.5,over,48,over,3,3,1,0,1,Win,
PIT,SF,44.5,under,44,under,3,3,1,0,1,Win,
CAR,HOU,47.5,under,26,under,4,4,1,0,1,Win,
CIN,PIT,45,under,30,under,4,4,1,0,1,Win,
CLE,BAL,45.5,over,65,over,4,4,1,0,1,Win,
DAL,NO,47.5,under,22,under,4,4,1,0,1,Win,
JAC,DEN,37,over,50,over,4,4,1,0,1,Win,
KC,DET,54.5,over,64,over,4,4,1,0,1,Win,
LAC,MIA,44,over,40,under,4,4,0,1,1,Loss,
MIN,CHI,38.5,over,22,under,4,4,0,1,1,Loss,
NE,BUF,41.5,over,26,under,4,4,0,1,1,Loss,
OAK,IND,46,under,55,over,4,4,0,1,1,Loss,
SEA,ARI,47.5,over,37,under,4,4,0,1,1,Loss,
TB,LAR,49,over,95,over,4,4,1,0,1,Win,
TEN,ATL,46,over,34,under,4,4,0,1,1,Loss,
WAS,NYG,48.5,under,27,under,4,4,1,0,1,Win,
ARI,CIN,48,over,49,over,5,5,1,0,1,Win,
ATL,HOU,49,under,85,over,5,5,0,1,1,Loss,
BAL,PIT,42.5,under,49,over,5,5,0,1,1,Loss,
BUF,TEN,38.5,over,21,under,5,5,0,1,1,Loss,
CHI,OAK,41.5,over,45,over,5,5,1,0,1,Win,
CLE,SF,47.5,over,34,under,5,5,0,1,1,Loss,
DEN,LAC,44,over,32,under,5,5,0,1,1,Loss,
GB,DAL,47,under,58,over,5,5,0,1,1,Loss,
IND,KC,57,under,32,under,5,5,1,0,1,Win,
JAC,CAR,41,over,61,over,5,5,1,0,1,Win,
MIN,NYG,44.5,under,38,under,5,5,1,0,1,Win,
NE,WAS,45.5,over,40,under,5,5,0,1,1,Loss,
NYJ,PHI,44.5,over,37,under,5,5,0,1,1,Loss,
TB,NO,47.5,under,55,over,5,5,0,1,1,Loss,
ATL,ARI,52,under,67,over,6,6,0,1,1,Loss,Note: this week I skipped the DAL/NYJ game because my data source was acting a little funky.
CAR,TB,47,under,63,over,6,6,0,1,1,Loss,
CIN,BAL,47.5,over,40,under,6,6,0,1,1,Loss,
DET,GB,47,over,45,under,6,6,0,1,1,Loss,
HOU,KC,54.5,over,55,over,6,6,1,0,1,Win,
NO,JAC,42.5,over,19,under,6,6,0,1,1,Loss,
PHI,MIN,44,over,58,over,6,6,1,0,1,Win,
PIT,LAC,41.5,over,41,under,6,6,0,1,1,Loss,
SEA,CLE,46,over,60,over,6,6,1,0,1,Win,
SF,LAR,50.5,under,27,under,6,6,1,0,1,Win,
TEN,DEN,40,over,16,under,6,6,0,1,1,Loss,
WAS,MIA,42,under,33,under,6,6,1,0,1,Win,
ARI,NYG,50,over,48,under,7,7,0,1,1,Loss,
BAL,SEA,48.5,over,46,under,7,7,0,1,1,Loss,
HOU,IND,46.5,over,53,over,7,7,1,0,1,Win,
JAC,CIN,44,over,44,push,7,7,,,,Push,
LAC,TEN,42,under,43,over,7,7,0,1,1,Loss,
LAR,ATL,54.5,over,47,under,7,7,0,1,1,Loss,
MIA,BUF,41.5,under,52,over,7,7,0,1,1,Loss,
MIN,DET,43.5,over,72,over,7,7,1,0,1,Win,
NE,NYJ,43.5,under,33,under,7,7,1,0,1,Win,
