Tm,Tm2,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,Arizona Cardinals,1920,2022,577,777,41,0.426,Fitzgerald,Hart,Anderson,Fitzgerald,Arians,11,7,10,0.412,2,0,1,8
Chicago Cardinals,Arizona Cardinals,1920,1943,99,141,21,0.413,,,,,,0,0,0,,1,0,0,1
Chi/Pit Cards/Steelers,Arizona Cardinals,1944,1944,0,10,0,0,,,,,,0,0,0,,0,0,0,0
Chicago Cardinals,Arizona Cardinals,1945,1959,66,107,4,0.382,,,,,,2,1,1,,1,0,0,2
St. Louis Cardinals,Arizona Cardinals,1960,1987,186,202,14,0.48,,,,,,3,0,3,,0,0,0,2
Phoenix Cardinals,Arizona Cardinals,1988,1993,32,64,0,0.333,,,,,,0,0,0,,0,0,0,0
Arizona Cardinals,Arizona Cardinals,1994,2022,194,253,2,0.434,,,,,,6,6,6,,0,0,1,4
Atlanta Falcons,Atlanta Falcons,1966,2022,376,483,6,0.438,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,Baltimore Ravens,1996,2022,233,183,1,0.56,Lewis,Flacco,Lewis,Mason,Harbaugh,13,16,11,0.593,2,2,2,6
Buffalo Bills,Buffalo Bills,1960,2022,449,492,8,0.477,Smith,Kelly,Thomas,Reed,Levy,21,17,19,0.472,2,0,4,13
Carolina Panthers,Carolina Panthers,1995,2022,205,227,1,0.475,Newton,Newton,Stewart,Smith,Rivera,8,9,8,0.529,0,0,2,6
Chicago Bears,Chicago Bears,1920,2022,783,610,42,0.562,Payton,Cutler,Payton,Morris,Halas,27,17,20,0.459,9,1,2,24
Decatur Staleys,Chicago Bears,1920,1920,10,1,2,0.909,,,,,,0,0,0,,0,0,0,0
Chicago Staleys,Chicago Bears,1921,1921,9,1,1,0.9,,,,,,0,0,0,,1,0,0,1
Chicago Bears,Chicago Bears,1922,2022,764,608,39,0.557,,,,,,27,17,20,,8,1,2,24
Cincinnati Bengals,Cincinnati Bengals,1968,2022,373,459,5,0.449,Munoz,Anderson,Dillon,Johnson,Lewis,15,8,15,0.348,0,0,3,11
Cleveland Browns,Cleveland Browns,1946,2022,541,518,14,0.511,Matthews,Sipe,Brown,Newsome,Brown,29,17,21,0.447,8,0,0,23
